"SYMBOL 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
","INDICATIVE CLOSE 
","CHNG 
","%CHNG 
","VOLUME 
(shares)","VALUE 
 (₹ Crores)","52W H 
","52W L 
","30 D   %CHNG 
","365 D % CHNG 
 05-Feb-2024"
"NIFTY 500","21,797.70","21,870.40","21,763.70","21,727.45","21,784.25","-","56.80","0.26","1,96,86,83,978","78,946.09","24,573.40","19,465.85","-4.07","9.72"
"MEDANTA","1,065.00","1,166.00","1,060.15","1,041.15","1,153.00","-","111.85","10.74","18,57,415","209.78","1,513.90","935.50","5.86","-5.04"
"ERIS","1,230.00","1,429.00","1,230.00","1,231.90","1,363.20","-","131.30","10.66","23,94,485","325.64","1,593.90","809.15","7.16","56.94"
"MOTILALOFS","645.00","738.60","645.00","642.45","700.75","-","58.30","9.07","2,48,09,182","1,775.02","1,064.00","345.36","-27.75","-59.98"
"JUBLPHARMA","961.55","1,074.35","952.90","956.45","1,042.00","-","85.55","8.94","21,42,616","224.72","1,309.90","538.05","-3.36","81.41"
"NAM-INDIA","583.00","641.55","583.00","580.35","631.00","-","50.65","8.73","27,56,675","171.03","816.25","430.00","-16.87","28.54"
"AFFLE","1,520.00","1,669.45","1,520.00","1,513.35","1,632.50","-","119.15","7.87","12,38,095","200.65","1,884.00","998.20","-7.50","37.88"
"CREDITACC","1,011.25","1,080.00","1,011.25","1,002.20","1,073.00","-","70.80","7.06","22,36,441","237.15","1,660.00","750.20","14.25","-32.38"
"CAMS","3,540.00","3,798.00","3,531.60","3,513.85","3,759.90","-","246.05","7.00","13,22,982","493.15","5,367.50","2,707.10","-26.44","29.34"
"JYOTICNC","1,048.55","1,136.90","1,045.00","1,040.50","1,113.00","-","72.50","6.97","6,15,907","68.32","1,504.30","512.60","-19.02","94.54"
"DOMS","2,647.00","2,834.00","2,635.20","2,636.85","2,820.00","-","183.15","6.95","2,58,594","71.67","3,115.00","1,366.00","0.83","97.82"
"VIJAYA","1,100.00","1,192.00","1,086.10","1,085.60","1,160.00","-","74.40","6.85","8,48,314","98.45","1,275.00","596.05","4.21","87.05"
"OIL","407.00","432.90","406.95","405.45","431.50","-","26.05","6.42","47,79,988","203.94","767.90","293.37","-10.29","-6.07"
"ABBOTINDIA","26,300.00","27,915.00","26,026.05","26,123.30","27,800.00","-","1,676.70","6.42","48,840","132.76","30,668.00","25,200.00","-5.72","-0.95"
"ANGELONE","2,380.00","2,536.85","2,380.00","2,350.35","2,500.00","-","149.65","6.37","27,41,969","683.62","3,503.15","2,025.00","-12.53","-22.24"
"HINDZINC","442.20","469.20","438.65","436.90","464.50","-","27.60","6.32","37,09,519","170.98","807.70","284.60","-0.36","48.16"
"REDINGTON","204.55","216.80","203.41","202.45","215.00","-","12.55","6.20","23,46,092","49.52","237.55","158.61","6.29","5.15"
"FORTIS","630.00","672.90","630.00","629.05","667.30","-","38.25","6.08","25,12,836","166.17","744.50","375.05","-8.52","53.85"
"IGL","197.25","207.18","197.25","194.12","204.95","-","10.83","5.58","1,35,57,815","276.63","285.18","153.05","-53.59","-53.44"
"QUESS","617.95","649.90","615.75","613.55","647.65","-","34.10","5.56","3,08,016","19.71","875.00","459.50","-6.14","28.54"
"JSWENERGY","474.85","501.50","474.50","469.70","495.00","-","25.30","5.39","1,44,43,076","712.27","804.90","439.60","-22.16","0.18"
"FSL","337.40","354.90","337.25","333.75","351.25","-","17.50","5.24","41,69,702","145.92","422.30","176.25","-12.39","74.38"
"BIOCON","371.45","393.75","371.45","371.05","390.25","-","19.20","5.17","76,74,111","298.29","404.70","244.55","5.69","37.10"
"KIRLOSBROS","1,850.00","1,957.00","1,835.10","1,839.35","1,933.45","-","94.10","5.12","1,72,349","33.00","2,684.00","890.00","-6.38","115.00"
"ITI","307.90","318.75","301.25","303.60","318.75","-","15.15","4.99","4,10,877","12.92","592.70","210.00","-","-"
"NUVAMA","5,700.00","6,050.00","5,689.10","5,695.00","5,979.00","-","284.00","4.99","1,98,227","116.89","7,648.00","3,170.70","-14.46","85.41"
"UNIONBANK","116.55","120.00","116.13","113.88","119.36","-","5.48","4.81","3,28,29,349","390.37","172.50","100.81","-3.90","-18.76"
"KFINTECH","1,117.00","1,208.85","1,117.00","1,098.65","1,151.00","-","52.35","4.76","18,45,478","216.91","1,641.35","548.70","-22.02","79.87"
"CDSL","1,307.00","1,356.00","1,304.95","1,290.50","1,351.75","-","61.25","4.75","51,32,426","689.55","1,989.80","811.00","-25.29","-26.19"
"HSCL","496.60","515.75","492.85","489.45","512.40","-","22.95","4.69","8,49,201","43.15","688.70","272.00","-13.33","-"
"BSE","5,618.45","5,855.00","5,570.00","5,565.35","5,818.00","-","252.65","4.54","20,74,466","1,190.65","6,133.40","1,941.05","9.24","127.76"
"360ONE","981.50","1,041.85","981.50","986.35","1,030.00","-","43.65","4.43","10,92,624","112.45","1,318.00","597.25","-20.68","67.16"
"CAPLIPOINT","2,127.75","2,227.80","2,112.00","2,106.90","2,200.00","-","93.10","4.42","1,56,568","34.33","2,641.00","1,225.00","-13.34","56.79"
"CYIENT","1,445.20","1,521.00","1,445.20","1,445.15","1,506.50","-","61.35","4.25","8,84,518","132.69","2,264.90","1,295.35","-15.04","-30.42"
"MCX","5,901.40","6,125.00","5,901.40","5,857.70","6,100.00","-","242.30","4.14","5,15,476","313.65","7,048.60","2,917.85","-1.04","58.35"
"GVT&D","1,655.70","1,729.25","1,645.05","1,646.95","1,715.00","-","68.05","4.13","3,82,696","65.57","2,243.00","673.95","-","-"
"PRAJIND","608.00","631.90","605.00","601.35","626.00","-","24.65","4.10","12,13,159","75.50","875.00","448.00","-25.26","32.17"
"VARROC","531.90","553.40","530.20","528.40","550.00","-","21.60","4.09","1,69,954","9.27","716.90","433.00","-13.45","-8.62"
"KEC","813.00","848.85","804.00","812.90","846.00","-","33.10","4.07","17,86,490","148.67","1,313.25","637.00","-30.97","29.54"
"NEWGEN","1,100.00","1,176.00","1,098.00","1,085.00","1,128.00","-","43.00","3.96","8,40,446","95.63","1,798.90","676.05","-33.65","-"
"TTML","73.90","77.55","73.46","71.32","74.14","-","2.82","3.95","3,01,07,319","228.18","111.40","65.05","-5.89","-19.42"
"KSB","684.70","715.85","684.70","683.60","710.55","-","26.95","3.94","3,84,883","27.00","1,060.00","618.50","-7.40","-80.71"
"METROPOLIS","1,755.00","1,833.90","1,755.00","1,737.90","1,806.00","-","68.10","3.92","6,09,369","109.79","2,318.30","1,551.05","-9.65","8.29"
"LUPIN","2,116.00","2,201.00","2,100.45","2,111.20","2,189.00","-","77.80","3.69","13,51,658","294.65","2,402.90","1,493.30","-7.76","38.90"
"CGPOWER","607.20","630.90","603.00","603.85","625.80","-","21.95","3.64","33,10,308","206.42","874.70","420.25","-14.54","43.20"
"ABSLAMC","687.65","710.00","685.70","680.90","705.45","-","24.55","3.61","7,80,157","54.47","911.85","450.25","-14.36","46.88"
"ANANDRATHI","3,677.40","3,824.95","3,656.25","3,677.40","3,808.95","-","131.55","3.58","83,553","31.64","4,646.00","3,190.10","-3.79","9.78"
"ADANIGREEN","987.05","1,028.70","987.05","983.15","1,018.00","-","34.85","3.54","24,34,579","245.84","2,174.10","870.25","-1.97","-39.00"
"IEX","177.25","181.54","176.40","173.44","179.50","-","6.06","3.49","84,92,785","152.38","244.40","130.20","1.50","22.60"
"IOB","50.43","52.41","50.30","49.70","51.43","-","1.73","3.48","98,36,644","50.54","83.75","45.05","-3.15","-17.91"
"NATCOPHARM","1,229.00","1,287.35","1,229.00","1,235.45","1,278.40","-","42.95","3.48","4,94,594","62.66","1,639.00","828.00","-6.08","47.66"
"PNBHOUSING","872.15","908.85","870.40","868.85","899.00","-","30.15","3.47","6,57,460","58.90","1,202.20","604.00","-2.78","13.79"
"INOXINDIA","949.00","978.95","942.55","940.10","972.60","-","32.50","3.46","1,27,207","12.31","1,506.90","884.20","-11.85","6.88"
"AEGISLOG","756.00","807.15","746.25","758.75","784.80","-","26.05","3.43","77,51,787","607.36","1,037.00","357.05","-2.06","-"
"JUBLINGREA","726.00","747.70","718.00","720.55","745.25","-","24.70","3.43","3,55,357","26.29","885.00","421.50","-13.43","74.07"
"TATATECH","772.15","799.20","772.15","769.75","796.00","-","26.25","3.41","7,69,632","60.85","1,179.00","737.10","-11.39","-26.55"
"BANKBARODA","215.00","221.11","214.12","212.89","219.95","-","7.06","3.32","1,57,59,413","344.86","299.70","206.55","-8.95","-14.54"
"NETWEB","1,730.00","1,779.00","1,708.55","1,691.50","1,747.00","-","55.50","3.28","1,34,822","23.62","3,060.00","1,295.00","-38.31","23.74"
"GLENMARK","1,451.55","1,499.90","1,441.20","1,451.55","1,498.85","-","47.30","3.26","4,34,708","64.30","1,830.95","771.00","-8.73","68.80"
"CASTROLIND","187.85","200.99","187.40","187.89","193.99","-","6.10","3.25","1,80,59,415","355.10","284.40","162.60","-4.02","-2.05"
"SONACOMS","509.95","517.70","496.00","502.40","516.90","-","16.10","3.21","25,80,847","132.22","768.65","477.60","-12.87","-19.47"
"USHAMART","320.00","333.00","319.60","319.80","329.90","-","10.10","3.16","7,84,780","25.63","451.00","273.05","-10.00","-8.12"
